antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ROSES REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.022557224408357814,0.03619132073380258,0.020118605553400212,0.8918918918918919,24.643806133852078,1.0,0.019302229809972975,8.915230283212326,0.9815631937428264,0.520803443328551,0.8878323982406788,0.723893878564629
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.023942803303220087,0.04068059635315635,0.020118605553400212,0.8402777777777778,20.65549311232213,1.0,0.019144598036658897,6.0061736576150215,0.9749292680053929,0.452054794520548,0.8335046475500864,0.6674140932485619
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.029152579947902234,0.03619132073380258,0.023942803303220087,0.8212927756653993,22.69308660234426,1.0,0.022887732932107736,5.393227290361914,0.9846384676050144,0.5783132530120483,0.8145822628712363,0.7414273985524547
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03619132073380258,0.04068059635315635,0.028044116832012415,0.7748851454823891,19.048028174303468,1.0,0.026571832321752975,4.261466466540062,0.983080094643462,0.5743473325766175,0.7653389958945489,0.732129221242557
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.029152579947902234,0.04068059635315635,0.022557224408357814,0.7737642585551331,19.020474818951314,1.0,0.021371280070844084,4.240352994270922,0.9758743314146636,0.4771395076201641,0.7641705769894428,0.6641300856808363
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.03497201130632378,0.041511943690073716,0.025550074821260323,0.7305863708399366,17.599425753090756,1.0,0.02409831865718359,3.5576821384209616,0.9773602168300417,0.5016322089227421,0.7189181154773318,0.6730368436309162
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.028044116832012415,0.029152579947902234,0.020118605553400212,0.7173913043478262,24.608158373284844,1.0,0.01930104719538666,3.435306255568962,0.9870438432336135,0.5426008968609866,0.7089051381142791,0.7037526863944454
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.029152579947902234,0.028044116832012415,0.020118605553400212,0.6901140684410647,24.608158373284844,1.0,0.01930104719538666,3.136495672063568,0.9881707985835405,0.5426008968609866,0.6811728423836534,0.7037526863944454
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04068059635315635,0.03619132073380258,0.028044116832012415,0.6893732970027248,19.048028174303468,1.0,0.026571832321752975,3.102787590269249,0.9876805618955342,0.5743473325766175,0.6777091660621141,0.732129221242557
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.03308762400931109,0.03813113118660977,0.022778917031535777,0.6884422110552765,18.05459711347435,1.0,0.021517248499783516,3.087288788610721,0.9769369675436446,0.47025171624713963,0.6760912021936244,0.6429129659927545
